ID	ID
コード	CD
名前	NAME
名称	NAME
氏名	FULL NAME
姓	FAMILY NAME
名	FIRST NAME
フリガナ	KANA
カナ	KANA
ふりがな	HIRAGANA
住所	ADDRESS
郵便番号	ZIP CODE
電話番号	PHONE NO
携帯電話	MOBILE PHONE
携帯電話番号	MOBILE PHONE NO
FAX	FAX
FAX番号	FAX NO
メールアドレス	EMAIL ADDRESS
メール	EMAIL
Eメール	EMAIL
生年月日	BIRTH DATE
年齢	AGE
性別	GENDER
職業	OCCUPATION
会社	COMPANY
会社名	COMPANY NAME
部署	DEPARTMENT
役職	POSITION
店舗	STORE
支店	BRANCH
本店	HEAD OFFICE
顧客	CUSTOMER
顧客ID	CUSTOMER ID
顧客コード	CUSTOMER CD
顧客名	CUSTOMER NAME
顧客管理	CUSTOMER MANAGEMENT
注文	ORDER
注文番号	ORDER NO
注文日	ORDER DATE
注文者	ORDERER
注文明細	ORDER DETAIL
商品	PRODUCT
商品ID	PRODUCT ID
商品コード	PRODUCT CD
商品名	PRODUCT NAME
商品分類	PRODUCT CATEGORY
商品マスタ	PRODUCT MASTER
在庫	STOCK
在庫数	STOCK QTY
価格	PRICE
単価	UNIT PRICE
金額	AMOUNT
合計金額	TOTAL AMOUNT
小計	SUBTOTAL
税額	TAX AMOUNT
税込	INCLUDING TAX
税別	EXCLUDING TAX
消費税	CONSUMPTION TAX
割引	DISCOUNT
割引率	DISCOUNT RATE
支払	PAYMENT
支払方法	PAYMENT METHOD
現金	CASH
クレジット	CREDIT
銀行振込	BANK TRANSFER
代金引換	CASH ON DELIVERY
売上	SALES
売上高	SALES AMOUNT
利益	PROFIT
損益	PROFIT LOSS
経費	EXPENSE
費用	COST
予算	BUDGET
実績	ACTUAL
計画	PLAN
目標	TARGET
達成率	ACHIEVEMENT RATE
管理	MANAGEMENT
システム	SYSTEM
データベース	DATABASE
テーブル	TABLE
レコード	RECORD
フィールド	FIELD
カラム	COLUMN
主キー	PRIMARY KEY
外部キー	FOREIGN KEY
インデックス	INDEX
ビュー	VIEW
ストアド	STORED
プロシージャ	PROCEDURE
ファンクション	FUNCTION
トリガー	TRIGGER
バックアップ	BACKUP
リストア	RESTORE
ログ	LOG
トランザクション	TRANSACTION
コミット	COMMIT
ロールバック	ROLLBACK
ユーザー	USER
パスワード	PASSWORD
認証	AUTHENTICATION
認可	AUTHORIZATION
権限	PERMISSION
ロール	ROLE
セキュリティ	SECURITY
暗号化	ENCRYPTION
復号化	DECRYPTION
アクセス	ACCESS
ログイン	LOGIN
ログアウト	LOGOUT
セッション	SESSION
タイムアウト	TIMEOUT
エラー	ERROR
例外	EXCEPTION
警告	WARNING
情報	INFORMATION
メッセージ	MESSAGE
通知	NOTIFICATION
アラート	ALERT
ステータス	STATUS
状態	STATE
フラグ	FLAG
処理	PROCESS
実行	EXECUTE
開始	START
終了	END
完了	COMPLETE
成功	SUCCESS
失敗	FAILURE
キャンセル	CANCEL
中断	ABORT
一時停止	PAUSE
再開	RESUME
待機	WAIT
実行中	RUNNING
作成	CREATE
更新	UPDATE
削除	DELETE
挿入	INSERT
検索	SEARCH
抽出	EXTRACT
選択	SELECT
並び替え	SORT
グループ化	GROUP
集計	AGGREGATE
合計	TOTAL
平均	AVERAGE
最大	MAXIMUM
最小	MINIMUM
件数	COUNT
行数	ROW COUNT
レコード数	RECORD COUNT
ページ	PAGE
画面	SCREEN
フォーム	FORM
ボタン	BUTTON
リンク	LINK
メニュー	MENU
ナビゲーション	NAVIGATION
ヘッダー	HEADER
フッター	FOOTER
サイドバー	SIDEBAR
コンテンツ	CONTENT
レイアウト	LAYOUT
デザイン	DESIGN
スタイル	STYLE
テーマ	THEME
色	COLOR
背景	BACKGROUND
前景	FOREGROUND
フォント	FONT
サイズ	SIZE
幅	WIDTH
高さ	HEIGHT
位置	POSITION
座標	COORDINATE
X座標	X COORDINATE
Y座標	Y COORDINATE
日付	DATE
時刻	TIME
日時	DATETIME
年	YEAR
月	MONTH
日	DAY
時	HOUR
分	MINUTE
